global_rank,run_rank,score,idea_name,idea_id,market,target_user,run_id,run_date,idea_slug,core_loop,evidence_summary,cost_profile,backend_required,backend_notes,external_api_required,external_api_list,external_api_cost_risk,ai_required,ai_usage_notes,data_sensitivity,mvp_complexity,build_effort_estimate,ops_cost_estimate,review_risk,reason_to_build_now,reason_to_skip
1,2,9.1,NeuroDash,neurodash_002,ADHD focus management,"Adults with ADHD, autism, or other neurodivergent conditions seeking flexible productivity support",app_factory_220354,2026-01-06,neurodash,Energy level check-in → Adaptive task suggestions → Flexible focus sessions → Pattern recognition and adjustment,Neurodivergent users abandoning productivity apps within weeks due to inflexible structure requirements,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
2,2,8.9,FocusFlow AI,focusflow_ai_002,ADHD focus management,Adults with ADHD seeking executive function support without overwhelming structure,run_185842,2026-01-06,focusflow_ai,Energy level check-in → AI-suggested task matching → Focus session with adaptive breaks → Pattern learning and adjustment,"ADHD research showing 'disorder of doing what you know' and need for visual, adaptive systems that don't demand rigid adherence",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
3,1,8.7,MindSafe,cognitive_offload_001,Cognitive burden reduction,Knowledge workers struggling with information overload and decision fatigue,market-batch-2026-01-07-run,2026-01-07,mindsafe,Passively capture user context and decisions → AI learns patterns and preferences → Proactively surface relevant information → User confirms or adjusts recommendations,Users report: 'I'm tired of apps that require more mental energy to maintain than they save' and 'need something that actually reduces the cognitive load',unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
4,3,8.7,Burnout Early Signals,burnout_early_signals_003,and professionals,Knowledge workers and professionals who want to prevent burnout before it happens rather than recover after,app_factory_112152,2026-01-07,burnout_early_signals,"Quick daily energy and stress check-in → Track patterns in energy, mood, and workload → Receive early warning alerts → Get personalized prevention recommendations",Research shows '90% experienced burnout symptoms' and enterprise tools achieve '30% reduction in burnout symptoms' but personal solutions lacking.,client_only,False,,False,,low,optional,"Pattern recognition for burnout signals, can start with rule-based approach",medium,M,8h,low,medium,Strong market signal with low behavior change risk and clear value proposition,Consider market saturation and differentiation strategy
5,1,8.7,MindFlow Auto,mindflow_auto_001,Decision automation,Busy professionals experiencing decision fatigue and productivity app overwhelm,run_185842,2026-01-06,mindflow_auto,Morning routine auto-generation → Smart choice elimination → Evening reflection and optimization → Weekly pattern learning,Decision fatigue research showing 'every app switch leaves attention residue' and users seeking single automation source,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
6,6,8.7,EnergyRhythm,energyrhythm_006,Energy-based productivity,Knowledge workers seeking to optimize productivity through awareness of natural energy and focus patterns,app_factory_220354,2026-01-06,energyrhythm,Daily energy pattern tracking → Smart task-energy matching → Circadian-optimized scheduling → Energy trend analysis,Users reporting poor task completion when fighting against natural energy rhythms instead of working with them,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
7,1,8.6,FlowState,flowstate_002,Single-session focus environment that consolidates...,Knowledge workers who struggle with productivity loss due to constant app switching and digital interruptions,batch-specs-201327,2026-01-07,flowstate,Launch unified work session → Access consolidated tools in single interface → Block external interruptions automatically → ...,"Productivity research shows employees lose 3.3 hours weekly to app switching, with 56% reporting per...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
8,2,8.6,SimpleEmotion,simpleemotion_002,Diversified consumer life domains,People interested in emotional awareness who find existing mood apps overwhelming or too clinical,batch-specs-213456,2026-01-07,simpleemotion,Quick mood check-in with simple sliders → Add optional context with minimal effort → View emotional patterns over time,Mood tracking research shows users 'disliked when they felt overwhelmed by the number of options' bu...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
9,1,8.5,ListLite,grocery_simple_007,Minimal grocery list app focused on simplicity,Shoppers who find current grocery apps too complicated,factory-094718,2026-01-08,listlite,Add items to list → Check off while shopping → Items automatically move to history → Reuse items from history,Users prefer apps described as 'plain and simple app that leaves you in control. It's like a blank piece of lined paper' over apps with 'too much control' and 'steeper learning curves'.,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
10,1,8.5,Contextual Learning,contextual_learning_001,Students and lifelong,Students and lifelong learners frustrated with traditional spaced repetition complexity but wanting effective retention,app_factory_110218,2026-01-07,contextual_learning,Input new concept or fact → Guided creation of 3 personal contexts/connections → Daily review of context relationships → Adaptive scheduling based on recall confidence,Users report 'preparing cards is big overhead' and 'once you fall behind you're done' with traditional SRS. Need 'multiple contexts' for effective lea...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
